name,year,director,pic_sm,pic_lg,trailer,description
Blusas,,,foto1_1.png,,,
Blusones,,,foto1_2.png,,,
Cintas,,,foto1_3.png,,,
Jardineras,,,foto1_4.png,,,
Mascarillas,,,foto1_5.png,,,
Poleras,,,foto1_6.png,,,
Polerones,,,foto1_7.png,,,
Polleras,,,foto1_8.png,,,
Vestidos,,,foto1_9.png,,,
